wine_type,country,grape,year,wine_rating,rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic,taste_count,wine_age,geo_region
Red,France,Merlot,2013,3.6,317,79.8,74.9173,50.4034,3.21704,51.1075,1081,8,W Europe
White,Italy,Cortese,2014,3.5,75,43,19.2489,47.91798617,0,78.5278,32,7,S Europe
Red,Chile,Cabernet Sauvignon,2018,3.7,189,59,72.0152,46.6079,10.9956,41.9329,234,3,S America
White,France,Pinot Blanc,2019,4,49,23.43,42.9523,47.91798617,15.4682,59.4682,29,2,W Europe
Red,South Africa,Merlot,2018,3.4,75,25.8,64.3135,36.859,22.0519,42.4953,227,3,Africa
Red,France,Pinot Noir,2016,3.9,44,78.17,57.64164538,47.91798617,10.98216313,55.38421874,84,5,W Europe
Red,Spain,Tempranillo,2016,4.1,94,59,63.0056,60.2218,7.77085,61.4651,724,5,S Europe
Red,Australia,Shiraz/Syrah,2018,4.1,93,89,84.3863,44.4485,19.7642,42.3762,419,3,Oceania
Red,Australia,Pinot Noir,2019,3.9,87,44,39.0284,11.943,7.29238,53.0582,223,2,Oceania
Red,France,Pinot Noir,2014,3.9,85,104.17,38.6196,27.1927,7.78623,66.1568,117,7,W Europe
White,Chile,Chardonnay,2018,3.5,688,32.9,64.3679,47.91798617,41.8323,18.2741,848,3,S America
Red,Australia,Shiraz/Syrah,2015,3.7,64,48,85,52.3575,5.50427,49.1578,49,6,Oceania
Red,Italy,Blend,2019,3.9,119,46,63.4609,39.5585,30.8611,25.0412,354,2,S Europe
White,France,Chardonnay,2018,4.1,50,40.21,46.0647,47.91798617,5.53339,41.8542,168,3,W Europe
White,New Zealand,Sauvignon Blanc,2017,3.6,429,41.95,30.5306,47.91798617,0.877585,79.4491,1640,4,Oceania
White,France,Blend,2018,4.1,85,40.21,50.2043,47.91798617,8.7687,44.5561,128,3,W Europe
White,France,Blend,2019,3.5,42,39,54.2836,47.91798617,8.37683,47.6565,172,2,W Europe
White,France,Sauvignon Blanc,2018,3.5,287,41,61.8602,47.91798617,8.84005,42.8112,293,3,W Europe
Red,Spain,Blend,2010,4.3,34,34.02,61.6918,63.0708,6.95554,62.8308,4777,11,S Europe
White,New Zealand,Chardonnay,2020,4.1,111,75.99,51.9655,47.91798617,4.90807,57.9507,1955,1,Oceania
Red,France,Pinot Noir,2016,3.8,58,34.02,22.9986,22.9534,0,69.4774,46,5,W Europe
Red,Italy,Blend,2016,4.4,34,45,53.4557,48.0078,8.10015,44.6522,124,5,S Europe
Red,Argentina,Malbec,2019,4.2,414,65.99,64.3233,31.6806,19.0897,35.2448,4482,2,S America
